的;1;de,di2,di4
一;2;yi1
是;3;shi4
不;4;bu4,bu2
了;5;le,liao3,liao4
在;6;zai4
人;7;ren2
有;8;you3
我;9;wo3
他;10;ta1
这;11;zhe4,zhei4
个;12;ge4
们;13;men
中;14;zhong1,zhong4
来;15;lai2
上;16;shang4
大;17;da4,dai4
为;18;wei2,wei4
和;19;he2,he4,huo2,huo4
国;20;guo2
地;21;de,di4
到;22;dao4
以;23;yi3
说;24;shui4,shuo1
时;25;shi2
要;26;yao1,yao4
就;27;jiu4
出;28;chu1
会;29;hui4,kuai4
可;30;ke3
也;31;ye3
你;32;ni3
对;33;dui4
生;34;sheng1
能;35;neng2
而;36;er2
子;37;zi3,zi
那;38;na3,na4,nei4
得;39;de2,de,dei3
于;40;yu2
着;41;zhao1,zhao2,zhe,zhu4,zhuo2
下;42;xia4
自;43;zi4
之;44;zhi1
年;45;nian2
过;46;guo4
发;47;fa1,fa4
后;48;hou4
作;49;zuo4
里;50;li3
用;51;yong4
道;52;dao4
行;53;hang2,xing2,xing4
所;54;suo3
然;55;ran2
家;56;jia1
种;57;zhong3,zhong4
事;58;shi4
成;59;cheng2,cheng4
方;60;fang1
多;61;duo1
经;62;jing1
么;63;ma,me,yao1
去;64;qu4
法;65;fa3
学;66;xue2
如;67;ru2
都;68;dou1,du1
同;69;tong2
现;70;xian4
当;71;dang1,dang4
没;72;mei2,mo4
动;73;dong4
面;74;mian4
起;75;qi3
看;76;kan1,kan4
定;77;ding4
天;78;tian1
分;79;fen1,fen4
还;80;hai2,huan2,huan4
进;81;jin4
好;82;hao3,hao4
小;83;xiao3
部;84;bu4
其;85;qi2
些;86;xie1
主;87;zhu3
样;88;yang4
理;89;li3
心;90;xin1
她;91;ta1
本;92;ben3
前;93;qian2
开;94;kai1
但;95;dan4
因;96;yin1
只;97;qi2,zhi1,zhi3
从;98;cong1,cong2,zong4
想;99;xiang3
实;100;shi2
日;101;ri4
军;102;jun1
者;103;zhe3
意;104;yi4
无;105;wu2
力;106;li4
它;107;ta1
与;108;yu2,yu3,yu4
长;109;chang2,zhang3
把;110;ba3,ba4
机;111;ji1
十;112;shi2
民;113;min2
第;114;di4
公;115;gong1
此;116;ci3
已;117;yi3
工;118;gong1
使;119;shi3
情;120;qing2
明;121;ming2
性;122;xing4
知;123;zhi1
全;124;quan2
三;125;san1
又;126;you4
关;127;guan1
点;128;dian3
正;129;zheng1,zheng4
业;130;ye4
外;131;wai4
将;132;jiang1,jiang4
两;133;liang3
高;134;gao1
间;135;jian1,jian4
由;136;you2
问;137;wen4
很;138;hen3
最;139;zui4
重;140;chong2,zhong4
并;141;bing4
物;142;wu4
手;143;shou3
应;144;ying1,ying4
战;145;zhan4
向;146;xiang4
头;147;tou2,tou
文;148;wen2
体;149;ti3
政;150;zheng4
美;151;mei3
相;152;xiang1,xiang4
见;153;jian4,xian4
被;154;bei4
利;155;li4
什;156;shen2,shi2
二;157;er4
等;158;deng3
产;159;chan3
或;160;huo4
新;161;xin1
己;162;ji3
制;163;zhi4
身;164;shen1
果;165;guo3
加;166;jia1
西;167;xi1
斯;168;si1
月;169;yue4
话;170;hua4
合;171;ge3,he2
回;172;hui2
特;173;te2,te4
代;174;dai4
内;175;nei4
信;176;xin4
表;177;biao3
化;178;hua4
老;179;lao3
给;180;gei3,ji3
世;181;shi4
位;182;wei4
次;183;ci4
度;184;du4
门;185;men2
任;186;ren4
常;187;chang2
先;188;xian1
海;189;hai3
通;190;tong1
教;191;jiao1,jiao4
儿;192;er2,er
原;193;yuan2
东;194;dong1
声;195;sheng1
提;196;di1,ti2
立;197;li4
及;198;ji2
比;199;bi3,bi4
员;200;yuan2
解;201;jie3,jie4,xie4
水;202;shui3
名;203;ming2
真;204;zhen1
论;205;lun2,lun4
处;206;chu3,chu4
走;207;zou3
义;208;yi4
各;209;ge4
入;210;ru4
几;211;ji1,ji3
口;212;kou3
认;213;ren4
条;214;tiao2
平;215;ping2
系;216;xi4
气;217;qi4
题;218;ti2
活;219;huo2
尔;220;er3
更;221;geng1,geng4
别;222;bie2,bie4
打;223;da2,da3
女;224;nu:3,nv3
变;225;bian4
四;226;si4
神;227;shen2
总;228;zong3
何;229;he2
电;230;dian4
数;231;shu3,shu4,shuo4
安;232;an1
少;233;shao3,shao4
报;234;bao4
才;235;cai2
结;236;jie1,jie2
反;237;fan3
受;238;shou4
目;239;mu4
太;240;tai4
量;241;liang2,liang4
再;242;zai4
感;243;gan3
建;244;jian4
务;245;wu4
做;246;zuo4
接;247;jie1
必;248;bi4
场;249;chang3
件;250;jian4
计;251;ji4
管;252;guan3
期;253;qi1
市;254;shi4
直;255;zhi2
德;256;de2
资;257;zi1
命;258;ming4
山;259;shan1
金;260;jin1
指;261;zhi3
克;262;ke4
许;263;xu3
统;264;tong3
区;265;ou1,qu1
保;266;bao3
至;267;zhi4
队;268;dui4
形;269;xing2
社;270;she4
便;271;bian4,pian2
空;272;kong1,kong4
决;273;jue2
治;274;zhi4
展;275;zhan3
马;276;ma3
科;277;ke1
司;278;si1
五;279;wu3
基;280;ji1
眼;281;yan3
书;282;shu1
非;283;fei1
则;284;ze2
听;285;ting1,ting4
白;286;bai2
却;287;que4
界;288;jie4
达;289;da2
光;290;guang1
放;291;fang4
强;292;qiang2
即;293;ji2
像;294;xiang4
难;295;nan2,nan4
且;296;qie3
权;297;quan2
思;298;si1
王;299;wang2
象;300;xiang4
完;301;wan2
设;302;she4
式;303;shi4
色;304;se4,shai3
路;305;lu4
记;306;ji4
南;307;nan2
品;308;pin3
住;309;zhu4
告;310;gao4
类;311;lei4
求;312;qiu2
据;313;ju1,ju4
程;314;cheng2
北;315;bei3
边;316;bian1
死;317;si3
张;318;zhang1
该;319;gai1
交;320;jiao1
规;321;gui1
万;322;wan4
取;323;qu3
拉;324;la1
格;325;ge2
望;326;wang4
觉;327;jiao4,jue2
术;328;shu4,zhu2
领;329;ling3
共;330;gong4
确;331;que4
传;332;chuan2,zhuan4
师;333;shi1
观;334;guan1,guan4
清;335;qing1
今;336;jin1
切;337;qie1,qie4
院;338;yuan4
让;339;rang4
识;340;shi2,zhi4
候;341;hou4
带;342;dai4
导;343;dao3
争;344;zheng1
运;345;yun4
笑;346;xiao4
飞;347;fei1
风;348;feng1
步;349;bu4
改;350;gai3
收;351;shou1
根;352;gen1
干;353;gan1,gan4
造;354;zao4
言;355;yan2
联;356;lian2
持;357;chi2
组;358;zu3
每;359;mei3
济;360;ji4
车;361;che1,ju1
亲;362;qin1,qing4
极;363;ji2
林;364;lin2
服;365;fu2
快;366;kuai4
办;367;ban4
议;368;yi4
往;369;wang3,wang4
元;370;yuan2
英;371;ying1
士;372;shi4
证;373;zheng4
近;374;jin4
失;375;shi1
转;376;zhuan3,zhuan4
夫;377;fu1
令;378;ling4
准;379;zhun3
布;380;bu4
始;381;shi3
怎;382;zen3
呢;383;ne,ni2
存;384;cun2
未;385;wei4
远;386;yuan3
叫;387;jiao4
台;388;tai2
单;389;chan2,dan1,shan4
影;390;ying3
具;391;ju4
罗;392;luo1,luo2
字;393;zi4
爱;394;ai4
击;395;ji1
流;396;liu2
备;397;bei4
兵;398;bing1
连;399;lian2
调;400;diao4,tiao2
深;401;shen1
商;402;shang1
算;403;suan4
质;404;zhi4
团;405;tuan2
集;406;ji2
百;407;bai3
需;408;xu1
价;409;jia4,jie
花;410;hua1
党;411;dang3
华;412;hua2,hua4
城;413;cheng2
石;414;dan4,shi2
级;415;ji2
整;416;zheng3
府;417;fu3
离;418;li2
况;419;kuang4
亚;420;ya4
请;421;qing3
技;422;ji4
际;423;ji4
约;424;yao1,yue1
示;425;shi4
复;426;fu4
病;427;bing4
息;428;xi1
究;429;jiu1
线;430;xian4
似;431;si4
官;432;guan1
火;433;huo3
断;434;duan4
精;435;jing1
满;436;man3
支;437;zhi1
视;438;shi4
消;439;xiao1
越;440;yue4
器;441;qi4
容;442;rong2
照;443;zhao4
须;444;xu1
九;445;jiu3
增;446;zeng1
研;447;yan2
写;448;xie3
称;449;chen4,cheng1,cheng4
企;450;qi3
八;451;ba1
功;452;gong1
吗;453;ma3,ma
包;454;bao1
片;455;pian1,pian4
史;456;shi3
委;457;wei1,wei3
乎;458;hu1
查;459;cha2,zha1
轻;460;qing1
易;461;yi4
早;462;zao3
曾;463;ceng2,zeng1
除;464;chu2
农;465;nong2
找;466;zhao3
装;467;zhuang1
广;468;guang3
显;469;xian3
吧;470;ba1,ba
阿;471;a1,a4,a,e1
李;472;li3
标;473;biao1
谈;474;tan2
吃;475;chi1,ji2
图;476;tu2
念;477;nian4
六;478;liu4
引;479;yin3
历;480;li4
首;481;shou3
医;482;yi1
局;483;ju2
突;484;tu1
专;485;zhuan1
费;486;fei4
号;487;hao2,hao4
尽;488;jin3,jin4
另;489;ling4
周;490;zhou1
较;491;jiao4
注;492;zhu4
语;493;yu3,yu4
仅;494;jin3
考;495;kao3
落;496;la4,luo4
青;497;qing1
随;498;sui2
选;499;xuan3
列;500;lie4
武;501;wu3
红;502;hong2
响;503;xiang3
虽;504;sui1
推;505;tui1
势;506;shi4
参;507;can1,shen1
希;508;xi1
古;509;gu3
众;510;zhong4
构;511;gou4
房;512;fang2
半;513;ban4
节;514;jie2,jie1
土;515;tu3
投;516;tou2
某;517;mou3
案;518;an4
黑;519;hei1
维;520;wei2
革;521;ge2
划;522;hua2,hua4
敌;523;di2
致;524;zhi4
陈;525;chen2
律;526;lu:4,lv4
足;527;zu2
态;528;tai4
护;529;hu4
七;530;qi1
兴;531;xing1,xing4
派;532;pai4
孩;533;hai2
验;534;yan4
责;535;ze2
营;536;ying2
星;537;xing1
够;538;gou4
章;539;zhang1
音;540;yin1
跟;541;gen1
志;542;zhi4
底;543;de,di3
